94J8A,2IDAHN
66K33,3FFMCC
JA7A7,5ANGNG
J3353,6ACCEC
45442,4DEDDB
7Q36T,1GLCFK
A22JK,4NBBAM
QAJA6,4LNANF
55J44,5EEADD
3TQ79,1CKLGI
8JKK8,5HAMMH
79999,6GIIII
974JK,2IGDAM
JJJJ8,7AAAAH
K7JA5,2MGANE
JKK4J,6AMMDA
66755,3FFGEE
AJ647,2NAFDG
Q2T29,2LBKBI
JA6A2,4ANFNB
55635,4EEFCE
J6J53,4AFAEC
75575,5GEEGE
TTQTJ,6KKLKA
74Q33,2GDLCC
9357J,2ICEGA
T75J5,4KGEAE
J6KT5,2AFMKE
T6667,4KFFFG
3KA6A,2CMNFN
3TTT3,5CKKKC
Q2442,3LBDDB
977Q3,2IGGLC
28622,4BHFBB
33338,6CCCCH
K3KK3,5MCMMC
7Q995,2GLIIE
747J4,5GDGAD
8KKKA,4HMMMN
6AQJ5,2FNLAE
7K362,1GMCFB
4KT35,1DMKCE
A94A9,3NIDNI
TT7JQ,4KKGAL
886A8,4HHFNH
899Q5,2HIILE
AKAAA,6NMNNN
J6T9T,4AFKIK
5TQ29,1EKLBI
TTTAQ,4KKKNL
56556,5EFEEF
JKK38,4AMMCH
75QQJ,4GELLA
9TK8J,2IKMHA
6Q442,2FLDDB
5KK75,3EMMGE
47QTQ,2DGLKL
Q496Q,2LDIFL
97TTJ,4IGKKA
A96K2,1NIFMB
959A5,3IEINE
5T55K,4EKEEM
JJJJ9,7AAAAI
724T2,2GBDKB
A4JA2,4NDANB
22J29,6BBABI
929J3,4IBIAC
888T6,4HHHKF
662JK,4FFBAM
KQ53K,2MLECM
99J99,7IIAII
424J2,5DBDAB
566KJ,4EFFMA
K693T,1MFICK
44794,4DDGID
7A3TQ,1GNCKL
5J2J8,4EABAH
AAK99,3NNMII
KQ378,1MLCGH
57Q29,1EGLBI
797AA,3GIGNN
AAA33,5NNNCC
5AK55,4ENMEE
KK5AK,4MMENM
77773,6GGGGC
8K899,3HMHII
44994,5DDIID
A6AJ6,5NFNAF
53533,5ECECC
45JK4,4DEAMD
99399,6IICII
22424,5BBDBD
7AAKK,3GNNMM
J4KA5,2ADMNE
Q3QQ8,4LCLLH
585T5,4EHEKE
59969,4EIIFI
2K2K3,3BMBMC
ATKTA,3NKMKN
56466,4EFDFF
44242,5DDBDB
7J275,4GABGE
588T6,2EHHKF
QKA79,1LMNGI
JA546,2ANEDF
4T447,4DKDDG
A33A3,5NCCNC
T7T77,5KGKGG
36366,5CFCFF
399A7,2CIING
AJ33J,6NACCA
T7J7T,5KGAGK
6KJ7J,4FMAGA
5J586,4EAEHF
K8KKK,6MHMMM
K62K9,2MFBMI
824K7,1HBDMG
6AJAA,6FNANN
63AJA,4FCNAN
4K44T,4DMDDK
67A92,1FGNIB
A5592,2NEEIB
AK578,1NMEGH
QT4TQ,3LKDKL
3373J,6CCGCA
35TT3,3CEKKC
45A48,2DENDH
44454,6DDDED
54445,5EDDDE
A6696,4NFFIF
88AA7,3HHNNG
344AA,3CDDNN
6J3TK,2FACKM
7557J,5GEEGA
45T98,1DEKIH
49TTT,4DIKKK
448J4,6DDHAD
A45TQ,1NDEKL
2A2AA,5BNBNN
77Q77,6GGLGG
88585,5HHEHE
J3QQ3,5ACLLC
74JK7,4GDAMG
9454T,2IDEDK
TTT7T,6KKKGK
TJK95,2KAMIE
T2T79,2KBKGI
2A333,4BNCCC
J9765,2AIGFE
9T6T9,3IKFKI
J2J35,4ABACE
789QQ,2GHILL
KJ3Q4,2MACLD
J5999,6AEIII
TQKT3,2KLMKC
J6T53,2AFKEC
99655,3IIFEE
J455T,4ADEEK
K95A5,2MIENE
37377,5CGCGG
JTKAT,4AKMNK
J8275,2AHBGE
QK296,1LMBIF
AJKK6,4NAMMF
TTAAT,5KKNNK
T5T4T,4KEKDK
QQ8Q8,5LLHLH
28J2J,6BHABA
KKK9K,6MMMIM
5T5TT,5EKEKK
88988,6HHIHH
697JJ,4FIGAA
6266T,4FBFFK
2878T,2BHGHK
T8J26,2KHABF
83773,3HCGGC
T9J33,4KIACC
2AK92,2BNMIB
22JJ3,6BBAAC
K2T9T,2MBKIK
QQ8QQ,6LLHLL
QKJKK,6LMAMM
T64A5,1KFDNE
6T7T2,2FKGKB
T3J55,4KCAEE
55557,6EEEEG
AAJ7A,6NNAGN
22K22,6BBMBB
TK27J,2KMBGA
9T64A,1IKFDN
77AAA,5GGNNN
QQQ7Q,6LLLGL
78837,3GHHCG
6A785,1FNGHE
6Q4QQ,4FLDLL
8AT69,1HNKFI
TKKKJ,6KMMMA
73555,4GCEEE
4Q999,4DLIII
45K55,4DEMEE
J4742,4ADGDB
AA8A8,5NNHNH
47T3T,2DGKCK
TA9J8,2KNIAH
9T9A9,4IKINI
4K799,2DMGII
8K99K,3HMIIM
J7KJK,6AGMAM
AQ4K9,1NLDMI
QQ2QQ,6LLBLL
7T45A,1GKDEN
2T7T2,3BKGKB
7J749,4GAGDI
AJ7Q7,4NAGLG
386AJ,2CHFNA
59A68,1EINFH
335K6,2CCEMF
KK979,3MMIGI
898QA,2HIHLN
9TTKT,4IKKMK
66933,3FFICC
Q7A77,4LGNGG
24QQT,2BDLLK
2J2T4,4BABKD
JK4K4,5AMDMD
AAJAK,6NNANM
727TJ,4GBGKA
QJT2T,4LAKBK
96A6T,2IFNFK
979T9,4IGIKI
2239Q,2BBCIL
8K69J,2HMFIA
57J54,4EGAED
J843J,4AHDCA
JK333,6AMCCC
K2K8T,2MBMHK
T9983,2KIIHC
A222A,5NBBBN
22523,4BBEBC
9999K,6IIIIM
Q2KA8,1LBMNH
TTATT,6KKNKK
83584,2HCEHD
66966,6FFIFF
79949,4GIIDI
73722,3GCGBB
A36T6,2NCFKF
Q976J,2LIGFA
Q4J78,2LDAGH
AQJJ3,4NLAAC
888J6,6HHHAF
QJT44,4LAKDD
JAJKA,6ANAMN
5QQ7Q,4ELLGL
27277,5BGBGG
JKKJK,5AMMAM
88877,5HHHGG
4K3T4,2DMCKD
A8495,1NHDIE
A89J5,2NHIAE
6A355,2FNCEE
8AA8J,5HNNHA
32KJ2,4CBMAB
48282,3DHBHB
44JJ4,5DDAAD
KJ93A,2MAICN
24444,6BDDDD
888J8,7HHHAH
99JA8,4IIANH
58J57,4EHAEG
QKQKQ,5LMLML
99JQK,4IIALM
84KJ7,2HDMAG
J95KK,4AIEMM
6666T,6FFFFK
K9555,4MIEEE
7KQKK,4GMLMM
5Q4QQ,4ELDLL
88KK8,5HHMMH
7272J,5GBGBA
97Q34,1IGLCD
8569K,1HEFIM
222KK,5BBBMM
23J4A,2BCADN
9868A,2IHFHN
2222Q,6BBBBL
2J553,4BAEEC
7727A,4GGBGN
K3QKQ,3MCLML
9J292,5IABIB
45K44,4DEMDD
888JK,6HHHAM
8K43A,1HMDCN
AQ6J2,2NLFAB
K4K4K,5MDMDM
2K224,4BMBBD
2T44A,2BKDDN
595J5,6EIEAE
5Q6QQ,4ELFLL
QA59J,2LNEIA
5A55J,6ENEEA
J738A,2AGCHN
K666K,5MFFFM
9QQ6A,2ILLFN
93242,2ICBDB
7KK77,5GMMGG
JA9KK,4ANIMM
33T53,4CCKEC
6T2AK,1FKBNM
2K64T,1BMFDK
5AT68,1ENKFH
Q36A7,1LCFNG
22228,6BBBBH
444J4,7DDDAD
27AA7,3BGNNG
KKAJA,5MMNAN
8JA5T,2HANEK
A2828,3NBHBH
7AAAQ,4GNNNL
3345K,2CCDEM
275TQ,1BGEKL
9KJ58,2IMAEH
JTTT7,6AKKKG
993J9,6IICAI
84J55,4HDAEE
KTKK2,4MKMMB
98K24,1IHMBD
J5KJK,6AEMAM
33944,3CCIDD
6K7KA,2FMGMN
T2T92,3KBKIB
33323,6CCCBC
JQT59,2ALKEI
TT2TT,6KKBKK
2A67K,1BNFGM
QKAQJ,4LMNLA
T3TQJ,4KCKLA
QQ227,3LLBBG
J2852,4ABHEB
83834,3HCHCD
67Q6T,2FGLFK
26262,5BFBFB
T4J45,4KDADE
2Q5T6,1BLEKF
QKKT6,2LMMKF
KQK9Q,3MLMIL
8Q333,4HLCCC
4656A,2DFEFN
64444,6FDDDD
59434,2EIDCD
357KK,2CEGMM
T4QJJ,4KDLAA
3625T,1CFBEK
29992,5BIIIB
A7AAA,6NGNNN
24KKK,4BDMMM
J89Q8,4AHILH
9569A,2IEFIN
K7TK7,3MGKMG
5T777,4EKGGG
7474T,3GDGDK
39A7J,2CINGA
9QTJQ,4ILKAL
Q844Q,3LHDDL
JJKKJ,7AAMMA
8Q88J,6HLHHA
K3T89,1MCKHI
Q365Q,2LCFEL
8488A,4HDHHN
J3A3K,4ACNCM
5AAA5,5ENNNE
96586,2IFEHF
88Q48,4HHLDH
Q85Q8,3LHELH
37QAQ,2CGLNL
K33K2,3MCCMB
7676J,5GFGFA
26666,6BFFFF
AA868,3NNHFH
9K9TT,3IMIKK
22233,5BBBCC
6Q6K8,2FLFMH
A4AA7,4NDNNG
66J76,6FFAGF
J282T,4ABHBK
23A24,2BCNBD
KK7K2,4MMGMB
43344,5DCCDD
54Q8T,1EDLHK
96967,3IFIFG
525J8,4EBEAH
628Q7,1FBHLG
2775T,2BGGEK
A5T67,1NEKFG
7T887,3GKHHG
K944K,3MIDDM
289AJ,2BHINA
A6AAA,6NFNNN
52Q49,1EBLDI
7AK7J,4GNMGA
688JJ,6FHHAA
6Q335,2FLCCE
23342,3BCCDB
5KKKK,6EMMMM
62665,4FBFFE
4KJ63,2DMAFC
TTA6Q,2KKNFL
AQ5AQ,3NLENL
J33JJ,7ACCAA
J88J8,5AHHAH
JT5A9,2AKENI
62ATA,2FBNKN
J6T33,4AFKCC
6Q46Q,3FLDFL
27J2T,4BGABK
2A9QT,1BNILK
KJ524,2MAEBD
93JQ2,2ICALB
7JJ77,5GAAGG
55552,6EEEEB
88868,6HHHFH
3TJT4,4CKAKD
7QJ77,6GLAGG
77797,6GGGIG
JJ464,6AADFD
J68K8,4AFHMH
2522A,4BEBBN
49AA4,3DINND
AAQQA,5NNLLN
J4K44,6ADMDD
57J55,6EGAEE
3AA64,2CNNFD
746JK,2GDFAM
25522,5BEEBB
TK333,4KMCCC
Q44QQ,5LDDLL
Q3KA3,2LCMNC
55T57,4EEKEG
9K57Q,1IMEGL
KKAA8,3MMNNH
6J546,4FAEDF
9K779,3IMGGI
588J8,6EHHAH
26266,5BFBFF
J6999,6AFIII
AATAQ,4NNKNL
7994T,2GIIDK
47466,3DGDFF
A4929,2NDIBI
QKKKK,6LMMMM
T9Q83,1KILHC
55595,6EEEIE
JJJJJ,7AAAAA
29A84,1BINHD
5AAAA,6ENNNN
5T6KQ,1EKFML
42447,4DBDDG
33337,6CCCCG
JJTTT,5AAKKK
88388,6HHCHH
22J75,4BBAGE
